Doc_ID	Cite_ID	Type	Contents	Label	Paper_ID	URL	Coords
doc0001	cite0102	Raw_Reference	"Mayr to Emerson, 26 March 1940, Mayr-Harvard, folder 75. From internal evidence in this letter it seems that Emerson did not attend this ' conference ' but was later approached with the idea of the group. See also Emerson to Colleagues, 18 March 1940, Dunn."		db794486152b1db0ada82d3ecd5059fa2b38aea3	http://discovery.ucl.ac.uk/129884/1/S000708749900388Xa.pdf	"18,141.65,577.00,352.36,7.02;18,122.00,587.00,372.00,7.02;18,122.00,597.00,158.06,7.02"
doc0030	cite0054	Raw_Reference	"Scott, James C. Against the Grain: A Deep History of the Earliest States. New Haven, CT: Yale University Press, 2017."		37b4e841035ea067e7894cc3ee6fcddd4b00ab9b	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/7D4A748D53A6474FF7D4F7ECC9DAA566/S0022050719000846a.pdf/div-class-title-a-western-reversal-since-the-neolithic-the-long-run-impact-of-early-agriculture-div.pdf	"36,69.01,306.31,348.02,9.69;36,89.01,318.31,132.77,9.69"
doc0013	cite0568	Raw_Reference	"Megalechthys rugosus, Woodward & Sherborn, Cat. Brit. Foss. Vertebrata, p. 118."		9234928a487f03f740c5ead7ff669b96329e1c0a	https://www.biodiversitylibrary.org/itempdf/125733	"436,73.35,373.16,238.24,8.27;436,77.18,382.98,65.08,8.41"
doc0015	cite0226	Raw_Reference	"Regan, Donald, 1988, For the Record: From Wall Street to Washington. St.Martin's Press, New York. Report of the Working Group on Exchange Market Intervention ['Jurgensen Report""], March 1983 (U.S. Treasury: Washington, D.C.)."		82f4a130c2b3246a2d85b1ab14ba94176a6bfa28	https://doi.org/10.3386/w3539	"95,141.00,182.23,409.92,9.59;95,140.00,192.66,249.60,8.17;95,141.00,213.17,407.10,9.04;95,142.00,225.85,406.02,7.94"
doc0067	cite0594	Raw_Reference	"Jos_ Llamas, Un manuscrito desconocido, ejemplar directo del texto hebreo Complutense (Escorial 1933)."		ac183630707edce8196a6d07f345995410d90490	https://digital.csic.es/bitstream/10261/7969/1/maite.pdf	
doc0104	cite0588	Raw_Reference	"Panciera, S. 1999. ""Dove fioisee 1a cilia?"" in S. Quilici Gigli (ed.), U2 Jam/Q della atta r dd turilorio. EspmnlU' mf'todologidre t' rrsulfatr a confrollto (Rome) 9-15."		3d41b1dcc2c50381be424954804af596afa53d91	http://dro.dur.ac.uk/3707/1/3707.pdf	"20,53.23,94.11,490.13,8.82;20,68.00,107.89,126.52,9.00"
doc0034	cite0574	Raw_Reference	"Ralph,E.K.; Michael,H.N. and Han,M.C. 1973. Radiocarbon dates and reality, MASCA Newsletter. 9: 1-20."		ddf834d24b5d6674de9a29f6de7686da2e9b0aed	https://ora.ox.ac.uk/objects/uuid:109c9470-855f-4696-906d-61ae770e217b/download_file?safe_filename=602354790.pdf&file_format=application%2Fpdf&type_of_work=Thesis	"275,111.42,380.20,506.88,14.47;275,111.23,404.45,270.26,13.98"
doc0073	cite0426	Raw_Reference	"Fisher 232-3 (quotation, 233). On the opposition between hybris and festive hesychia in this and other passages, see Fisher 216-42 passim and Dickie (n. 2); cf. W.J. Slater, ICS vi (1981) 205-14."		40285c4540d2c39e380f1cc49f6069d449e6b36c	https://www.pure.ed.ac.uk/ws/files/11874467/Hybris_Dishonour_and_Thinking_Big.pdf	"26,89.04,612.93,391.29,9.72;26,57.18,623.13,339.87,9.84"
doc0098	cite0595	Raw_Reference	"Malinowski, Miko_aj, and Jan Luiten van Zanden. ""Income and Its Distribution in Preindustrial Poland."" Cliometrica 11 (2017): 375-404."		7a0a64620b78d31a35ced0e3d9b3e8f9aa1975e6	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/3FB21F575B6056CE6BCFF04C97FC1E49/S002205072200033Xa.pdf/div-class-title-economic-growth-in-germany-1500-1850-div.pdf	
doc0041	cite0486	Raw_Reference	"Rudolph, W. (1959), 'Einige hypothetische Ausfuhmngen zur Kultur der Kurden', Sociologus 9: 150-162. (1967), 'Grundziige sozialer Organisation bei den west- iranischen Kurden, Sociologus 17/1: 19-39."		3689f080db2243c81a36d6969b8ec27e666038a1	https://dspace.library.uu.nl/bitstream/handle/1874/420970/ASS_Zed.pdf?sequence=1&isAllowed=y	"367,19.68,527.16,309.12,5.84;367,30.72,538.44,154.56,5.84;368,61.44,47.70,276.48,5.34;368,39.84,58.98,185.04,5.34"
