Doc_ID	Cite_ID	Type	Contents	Label	ID	URL	Coords
doc0049	cite0228	Raw_Reference	Cherry. }.F. (1983) Frogs around the pond: perspectives in current archaeological survey projects. pp. 375-416 in D.R. KeUer and D.W. Rupp (eds) Archae%iMol SUrot}' in the Mediterranean Area. BAR International Series 155. BAR: Oxford.		85f4821233b2ab923d57b7a02d67725e940f58db	http://dro.dur.ac.uk/5787/1/5787.pdf	"23,16.31,183.50,275.25,9.72;23,26.97,192.98,264.69,13.14;23,26.84,207.06,265.77,10.31;23,27.04,219.20,264.03,11.07;23,26.85,232.37,122.60,10.26"
doc0049	cite0229	Raw_Reference	"Donoghue, D., Philip, G., Galiatsatos) N. and Beck. A. (2002) Satellite imagery for archaeological applications: a case study from the Orontes Valley. Syria. ]>p. 211-223 in B. Bewley and W. RaCzkowski (cds) Aerial Archaeology: Developing Future Pr~tiu. NATO Science Series I. Life and Behavioural Sciences. Vol. 337. lOS Press: Amsterdam."		85f4821233b2ab923d57b7a02d67725e940f58db	http://dro.dur.ac.uk/5787/1/5787.pdf	"23,16.86,401.91,274.56,9.72;23,27.89,413.51,263.59,9.72;23,27.43,425.94,264.21,9.90;23,27.95,437.99,265.12,9.88;23,27.21,449.40,264.88,11.09;23,27.82,462.15,264.13,9.89;23,27.97,474.88,89.06,9.72"
doc0049	cite0230	Raw_Reference	"Verhoeven, K. (1998) Geomorphological research in the mesopotamian Oood plain. pp. 519-539 in H. Gasche and M. Ta.nret (eds), Changing Warm:oulUS in Babylonia. Towards a ReamstrlUrUm oj rm Ancienr Environmtnr in Lower Maoporamia Volume 1. Mesopotamian History and Environment Series n Memoirs 5. Universities of Ghent and Chicago."		85f4821233b2ab923d57b7a02d67725e940f58db	http://dro.dur.ac.uk/5787/1/5787.pdf	"24,27.52,436.54,261.46,9.84;24,36.22,446.67,252.83,12.51;24,36.12,460.22,252.89,9.84;24,36.31,471.02,253.37,10.98;24,36.31,483.86,252.56,9.99;24,36.19,492.91,253.09,13.04;24,36.19,507.39,217.17,9.54"
doc0050	cite0231	Raw_Reference	"Kendig H, Byles JE, Loughlin KO, Nazroo JY, Mishra G, Noone J, et al. Adapting data collection methods in the Australian Life Histories and Health Survey: a retrospective life course study. BMJ Open. 2014;4(3):e004476."		2bcc19d3ab31a492e2bab061040cea71a174d408	http://www.phrp.com.au/wp-content/uploads/2016/06/PHRP-26-03-02-Life.pdf	"3,309.89,85.04,191.98,9.66;3,320.31,96.74,200.58,9.66;3,320.31,108.44,203.08,9.66;3,320.31,120.14,211.57,9.66;3,320.31,131.84,78.55,9.66"
doc0011	cite0232	Raw_Reference	"Thomas Gabe, Gene Falk, Maggie McCarty, Virginia W. Mason, Hurricane Katrina: Social-Demographic Characteristics of Impacted Areas. (Congressional Research Service, The Library of Congress, Nov. 4, 2005). http://www.gnocdc.org/reports/crsrept.pdf."		42e1569a9d8994b395ea90240de69a348c73d866	https://escholarship.org/content/qt5jc0909m/qt5jc0909m.pdf?t=krnnss	"48,81.00,161.85,384.21,7.89;48,81.00,172.85,398.59,7.89;48,81.00,183.85,153.74,7.89"
doc0011	cite0233	Raw_Reference	"The number of workers employed in construction and related industries in the New Orleans metropolitan area dropped from 40,100 to 22,500 from August to September 2005. The Brookings Institution, Katrina Index: Tracking Variables of Post- Katrina Reconstruction (Washington, DC: The Brookings Institution, April 5, 2005), http://www.brookings.edu/metro/pubs/ 200604_KatrinaIndex.pdf (accessed on May 20, 2006). These figures of workers employed in the ""Natural Resources, Mining & Construction"" are based on data from the Louisiana Occupational Information System (LOIS), Louisiana Department of Labor, Current Employment Statistics (CES) Survey, 2005, and the Bureau of Labor Statistics, U.S. Department of Labor, 2005."		42e1569a9d8994b395ea90240de69a348c73d866	https://escholarship.org/content/qt5jc0909m/qt5jc0909m.pdf?t=krnnss	"48,81.00,293.85,450.02,7.89;48,81.00,304.85,436.73,7.89;48,81.00,315.85,446.86,7.89;48,81.00,326.85,457.27,7.89;48,81.00,337.85,445.29,7.89;48,81.00,348.85,457.63,7.89"
doc0011	cite0234	Raw_Reference	"The Brookings Institution, Katrina Index. See note 5."		42e1569a9d8994b395ea90240de69a348c73d866	https://escholarship.org/content/qt5jc0909m/qt5jc0909m.pdf?t=krnnss	"49,81.00,127.33,193.37,7.89"
doc0011	cite0235	Raw_Reference	"vii Amy Liu, Matt Fellowes, Mia Mabanta, Katrina Index: Tracking Variables of Post Conflict Reconstruction. Brookings Institute, May 2006. http://www.brookings.edu/metro/pubs/200512_katrinaindex.htm (accessed May 13, 2006)."		42e1569a9d8994b395ea90240de69a348c73d866	https://escholarship.org/content/qt5jc0909m/qt5jc0909m.pdf?t=krnnss	"51,72.11,305.78,7.39,6.14;51,81.00,308.45,427.86,7.89;51,81.00,319.45,403.32,7.89"
doc0011	cite0236	Raw_Reference	"United Nations Global Compact, Global Compact, The Ten Principles, July 26, 2000. http://www.unglobalcompact.org/AboutTheGC/TheTenPrinciples/index.html (accessed May 14, 2006)."		42e1569a9d8994b395ea90240de69a348c73d866	https://escholarship.org/content/qt5jc0909m/qt5jc0909m.pdf?t=krnnss	"51,82.50,501.48,310.28,7.89;51,82.50,512.48,372.58,7.89"
doc0011	cite0237	Raw_Reference	"The Federal Emergency Management Agency may activate the Worker Safety and Health Support Annex to the National Response Plan, which triggers OSHA's jurisdiction to act in the aftermath of natural disasters. The annex addresses those functions critical to supporting and facilitating the protection of worker safety and health for all emergency responders and response organizations during potential and actual ""Incidents of National Significance"" such as Hurricanes Katrina and Rita. US Department of Labor, Occupational Health and Safety Administration, Worker Safety and Health Support Annex. http://www.osha.gov/SLTC/emergencypreparedness/nrp_work_sh_annex.html (last visited May 14, 2006); Department of Homeland Security, National Response Plan, special report under Homeland Security Presidential Directive (HSPD)-5, December, 2004. http://www.dhs.gov/interweb/assetlibrary/NRP_FullText.pdf."		42e1569a9d8994b395ea90240de69a348c73d866	https://escholarship.org/content/qt5jc0909m/qt5jc0909m.pdf?t=krnnss	"54,82.50,424.33,436.94,7.89;54,82.50,435.33,439.22,7.89;54,82.50,446.33,445.38,7.89;54,82.50,457.33,451.41,7.89;54,82.50,468.33,422.65,7.89;54,82.50,479.33,439.71,7.89;54,82.50,490.33,432.43,7.89;54,82.50,501.33,284.09,7.89"
