Doc_ID	Cite_ID	Contents	Label	Paper_ID	URL	Document_part	Coords
doc0001	cite0001	"Phillips, 0. M. 1977. The Dynamics of the Upper Ocean . Cambridge University Press, London. Pratte, T. 1989. ""Patagonia Reef: One Step at a Time"", Making Waves . The Surf rider Foundation, Vol 5, No. 1, p 5."		7cf0884424012e01336f5e8c816dea051ce8636d	https://www.biodiversitylibrary.org/itempdf/102670	Raw_Reference	
doc0002	cite0002	"Curray, J. R., et al. 1970. Late Quaternary sea-level studies in Micronesia. BullZZ. Geol. Soc. Am. 81:1865-80."		70e822babf26284a003f2cdaf8c25d1513adc7f0	https://oi.uchicago.edu/sites/oi.uchicago.edu/files/uploads/shared/docs/early_hydraulic.pdf	Raw_Reference	
doc0002	cite0003	The low price of land in ancient Egypt. J. Am. Res.		70e822babf26284a003f2cdaf8c25d1513adc7f0	https://oi.uchicago.edu/sites/oi.uchicago.edu/files/uploads/shared/docs/early_hydraulic.pdf	Raw_Reference	
doc0002	cite0004	M.I.T. Press.		70e822babf26284a003f2cdaf8c25d1513adc7f0	https://oi.uchicago.edu/sites/oi.uchicago.edu/files/uploads/shared/docs/early_hydraulic.pdf	Raw_Reference	
doc0002	cite0005	"Simpson, W. K. 1963. Studies in the 12th Egyptian Dynasty: The residence of Itj-Towy. J. Am. Res. Cent. Egypt 2:53-58."		70e822babf26284a003f2cdaf8c25d1513adc7f0	https://oi.uchicago.edu/sites/oi.uchicago.edu/files/uploads/shared/docs/early_hydraulic.pdf	Raw_Reference	
doc0002	cite0006	"White, L. A. 1948. Ikhnaton: The great man versus the culture process. J. Am. Oriental Soo. 68:91-114. --. 1959. The evolutiJon of culture: The development of civili- cation to the fall of Pome. New York: McGraw-Hill Book Co. 378 pp."		70e822babf26284a003f2cdaf8c25d1513adc7f0	https://oi.uchicago.edu/sites/oi.uchicago.edu/files/uploads/shared/docs/early_hydraulic.pdf	Raw_Reference	
doc0003	cite0007	"Alexander, King of Macedonia, 48, 50, 66, 113"		10f33b3276fb0a17d76ad750042a952f6253814f	https://archive.org/download/democraticideals00mack/democraticideals00mack_bw.pdf	Raw_Reference	"275,15.65,150.57,119.19,5.59;275,23.26,161.01,37.34,5.18"
doc0003	cite0008	"Bismarck, Ambassador in Paris, 152; Called to power at Berlin, 152; Dual Alliance, 153; His basis of German Unity, 152;"		10f33b3276fb0a17d76ad750042a952f6253814f	https://archive.org/download/democraticideals00mack/democraticideals00mack_bw.pdf	Raw_Reference	"275,146.48,280.72,118.91,5.69;275,154.81,290.84,110.29,5.47;275,154.67,300.79,110.72,5.90;275,154.24,310.47,110.87,6.15"
doc0003	cite0009	"Balkan Corridor, Germans given first steps towards, 168"		10f33b3276fb0a17d76ad750042a952f6253814f	https://archive.org/download/democraticideals00mack/democraticideals00mack_bw.pdf	Raw_Reference	"275,14.36,400.87,118.76,5.80;275,21.97,411.61,79.13,4.91"
doc0004	cite0010	"Peterhouse, 9. 109. 114. 125. 135. 162. 181. 231."		c898eff8642b4f7e2cf9e749161c8942dccb5b8d	https://archive.org/download/historyofstudyof00balluoft/historyofstudyof00balluoft_bw.pdf	Raw_Reference	
doc0004	cite0011	"An Introduction to Greek Epigraphy. Part I. The Archaic In- scriptions and the Greek Alphabet. By E. S. ROBERTS, M.A., Fellow and Tutor of Gonville and Caius College. Demy 8vo. i&r."		c898eff8642b4f7e2cf9e749161c8942dccb5b8d	https://archive.org/download/historyofstudyof00balluoft/historyofstudyof00balluoft_bw.pdf	Raw_Reference	
doc0004	cite0012	"From Shakespeare to Pope. An Inquiry into the causes and phenomena of the Rise of Classical Poetry in England. By E. GOSSE,."		c898eff8642b4f7e2cf9e749161c8942dccb5b8d	https://archive.org/download/historyofstudyof00balluoft/historyofstudyof00balluoft_bw.pdf	Raw_Reference	
doc0004	cite0013	"Gooch, Wm., 178. 179. 180. 192. Gowns, Academical, 240."		c898eff8642b4f7e2cf9e749161c8942dccb5b8d	https://archive.org/download/historyofstudyof00balluoft/historyofstudyof00balluoft_bw.pdf	Raw_Reference	
doc0005	cite0014	"W. Paravicini, 'Gab es eine einheitliche Adelskultur Europas im späten Mittelalter?', in R.C. Schwinges, C. Hesse and P. Moraw (eds), Europa im späten Mittelalter. Politik -Gesellschaft - Kultur (Munchen, 2006), passim and in particular 401-405, 424-429 and 433."		a7d7a504e0b5535aa575816e84ecd07abb0ec1eb	https://biblio.ugent.be/publication/1086884/file/6744679.pdf	Raw_Reference	
doc0005	cite0015	"For an archaeological analysis, see F. Verhaeghe, 'Moated sites in coastal Flanders', in F.A. Aberg and A.E. Brown (eds), Medieval moated sites in North-West Europe (London, 1981), 127-171;"		a7d7a504e0b5535aa575816e84ecd07abb0ec1eb	https://biblio.ugent.be/publication/1086884/file/6744679.pdf	Raw_Reference	
doc0006	cite0016	"James Scott, Weapons of the Weak: Everyday Forms of Peasant Re sis tance (New Haven, Conn.: Yale University Press, 1985)."		6e3c6e1ac8fc1afb89e7ba4cc66e92ff23313cce	https://scholarlypublications.universiteitleiden.nl/access/item%3A2721992/view	Raw_Reference	
