Doc_ID	Cite_ID	Type	Contents	Label	ID	URL	Coords
doc0001	cite0001	Raw_Reference	"Mitman, State of Nature, op. cit. (11)."		db794486152b1db0ada82d3ecd5059fa2b38aea3	http://discovery.ucl.ac.uk/129884/1/S000708749900388Xa.pdf	"25,141.65,587.00,129.75,7.06"
doc0002	cite0002	Raw_Reference	"Glenn, II 1967 1967-1968 letters on file, William Paca Garden VisitOr's Center, Annapolis, MD."		2163f3963aa4bea92b2b7a4590a8ba6fbfe6c6e4	https://orb.binghamton.edu/cgi/viewcontent.cgi?article=1267&context=neha	"29,258.88,178.38,29.83,7.20;29,239.96,187.26,192.58,7.20;29,268.78,196.14,105.90,7.20"
doc0003	cite0003	Raw_Reference	Office for National Statistics. Deaths Registered in England & Wales. 2015 www .ons. gov.uk/peoplepopulat ionandc ommunit y/b irth sd ea t hsa ndma rri a ge s/ deat hs/b ulle tins/ deathsregiste redi neng land andw alesseriesdr/ 2015.		f0776d310656f02aa7c414d7e01882e56cea3c44	https://jech.bmj.com/content/jech/71/9/928.full.pdf	"9,319.29,390.37,229.37,7.11;9,319.29,399.37,227.23,7.11;9,319.29,408.37,136.78,7.11"
doc0004	cite0004	Raw_Reference	"U.S. Commission on the Role of Gold in the Domestic and International Mon- etary Systems. 1982. Report to the Congress. 2 vols. Washington, D.C.: Government Printing Office."		d322ea40724b23aa12d0dbddabd95ffb4ea3ddd9	http://www.nber.org/chapters/c6734.pdf	"62,61.91,569.09,309.08,8.19;62,70.31,578.88,300.52,8.19;62,70.30,588.98,113.47,8.19"
doc0005	cite0005	Raw_Reference	"The rxhihition ""Hunt for-Pal-adisr: Court ;\rts of Safavid Iran. 1501-76,' had heen planned hv Sheila Canby of the BI-itish Slusrum for hlilan. London. and Sr'rlr Yorh. but thr BI-itis11 hlusenm has had to cancel its sho~\ing because of its drficit. It is st111 scheduled t~ npprar at the Asia Socirtv (October 2003-Januan 2004) and rhr Poldi Pe7roli \Iuseum iFvhruar7-hlav 2004). -- Sheila Canby and Jon Thompson are still writing the catalogue, to he puh- lished hy the British Museum Press in the fall of 2003, and Sheila Canby also wrote a preliminary study on the arts of the Safavids, The Golden Age ofPert,ian Art 1501-1722 (London: British Museum Press, 1999)."		fc15208c55b16378032b70f869c1f4fbb260aa52	http://arthistoriography.files.wordpress.com/2012/05/blairbloomdoc.pdf	"31,352.77,743.68,233.92,6.75;31,338.64,752.08,250.60,6.75;31,338.65,760.48,250.00,6.75;31,338.65,768.88,251.00,6.75;31,338.65,777.28,251.34,6.75;32,66.96,513.87,6.12,12.95;32,60.00,72.40,252.81,6.75;32,60.24,81.04,252.66,6.75;32,59.77,89.68,254.21,6.75;32,60.00,98.08,181.51,6.75"
doc0006	cite0006	Raw_Reference	"U.S. Department of State communiquﾃｩ of 17 October 1953, quoted in the Jerusalem Post, 18 October 1953."		d6a9b486f833a3db09298ea76f05ee3cb476c8f5	https://library.oapen.org/bitstream/20.500.12657/51086/1/external_content.pdf	
doc0007	cite0007	Raw_Reference	"Briceland, R.H. 1976. Statement of Dr. Richard H. Briceland, Illinois Environmental Protection Agency, to the Task Force on Lock and Dam 26 of the Midwestern Conference, Council of State Govern- ments, Clayton, Missouri, 18 November 1976. 20 p. Burgstahler, A.W. 1977. Report on water fluoridation. Presented to the Subcommittee on Intergovernmental Relations and Human Resources of the Committee on Government Operations, U.S. House of Repre- sentatives, Washington, D.C, 12 October 1977."		664342843015eb9f65ce5aface2d91ed83143ebf	https://www.biodiversitylibrary.org/itempdf/93136	"71,33.64,199.02,282.49,6.08;71,61.67,206.88,230.88,6.14;71,61.67,214.83,258.48,6.35;71,61.10,223.38,198.53,5.72;71,33.78,238.64,274.58,6.14;71,61.96,246.58,266.39,6.20;71,61.82,254.65,250.72,6.18;71,62.10,262.59,181.57,6.12"
doc0008	cite0008	Raw_Reference	"SCARANO, FRANCISCO 1993 Puerto Rico: Cinco siglos de historia. San Juan: McGraw-Hill."		53a665a914aae1bf6e4c729b20080d4d281a863d	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/31D66E6CE76CE7729C019545C4F38104/S002387910001952Xa.pdf/div-class-title-rural-puerto-rico-in-the-early-twentieth-century-reconsidered-land-and-society-1899-1915-div.pdf	"33,51.60,247.12,76.66,5.50;33,59.61,254.16,231.96,8.11"
doc0009	cite0009	Raw_Reference	"""Scouts reviewed by British Minister,"" Panama Star and Herald, 1 Dec. 1923, enclosed in British Public Record Office, FO 371/8475, f. 105."	YES	3770ea7f24f3c2572fb7b08262bf2be9e0ca691b	http://d-scholarship.pitt.edu/20856/1/PutnamSocHist2006PostPrint.pdf	"13,99.88,667.30,378.29,10.54;13,89.88,681.70,301.64,10.54"
doc0001	cite0010	FootNote	The evidence is not clear as to whether Huxley brought the suggestion of forming a group to the Americans or they approached him to support a project already conceived.		db794486152b1db0ada82d3ecd5059fa2b38aea3	http://discovery.ucl.ac.uk/129884/1/S000708749900388Xa.pdf	"13,99.88,667.30,378.29,10.54;13,89.88,681.70,301.64,10.54"
